video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
Jw1Y-zhQURU,17.14.11,John Lewis Christmas Ad 2017 - #MozTheMonster,John Lewis,26,2017-11-10T07:38:29.000Z,"christmas|""john lewis christmas""|""john lewis""|""christmas ad""|""mozthemonster""|""christmas 2017""|""christmas ad 2017""|""john lewis christmas advert""|""moz""",7224515,55681,10247,9479,https://i.ytimg.com/vi/Jw1Y-zhQURU/default.jpg,FALSE,FALSE,FALSE,"Click here to continue the story and make your own monster:\nhttp://bit.ly/2mboXgj\n\nJoe befriends a noisy Monster under his bed but the two have so much fun together that he can't get to sleep, leaving him tired by day. For Christmas Joe receives a gift to help him finally get a good night’s sleep.\n\nShop the ad\nhttp://bit.ly/2hg04Lc\n\nThe music is Golden Slumbers performed by elbow, the original song was by The Beatles. \nFind the track:\nhttps://Elbow.lnk.to/GoldenSlumbersXS\n\nSubscribe to this channel for regular video updates\nhttp://bit.ly/2eU8MvW\n\nIf you want to hear more from John Lewis:\n\nLike John Lewis on Facebook\nhttp://www.facebook.com/johnlewisretail\n\nFollow John Lewis on Twitter\nhttp://twitter.com/johnlewisretail\n\nFollow John Lewis on Instagram\nhttp://instagram.com/johnlewisretail"
3s1rvMFUweQ,17.14.11,Taylor Swift: …Ready for It? (Live) - SNL,Saturday Night Live,24,2017-11-12T06:24:44.000Z,"SNL|""Saturday Night Live""|""SNL Season 43""|""Episode 1730""|""Tiffany Haddish""|""Taylor Swift""|""Taylor Swift Ready for It""|""s43""|""s43e5""|""episode 5""|""live""|""new york""|""comedy""|""sketch""|""funny""|""hilarious""|""late night""|""host""|""music""|""guest""|""laugh""|""impersonation""|""actor""|""improv""|""musician""|""comedian""|""actress""|""If Loving You Is Wrong""|""Oprah Winfrey""|""OWN""|""Girls Trip""|""The Carmichael Show""|""Keanu""|""Reputation""|""Look What You Made Me Do""|""ready for it?""",1053632,25561,2294,2757,https://i.ytimg.com/vi/3s1rvMFUweQ/default.jpg,FALSE,FALSE,FALSE,Musical guest Taylor Swift performs …Ready for It? on Saturday Night Live.\n\n#SNL #SNL43\n\nGet more SNL: http://www.nbc.com/saturday-night-live\nFull Episodes: http://www.nbc.com/saturday-night-liv...\n\nLike SNL: https://www.facebook.com/snl\nFollow SNL: https://twitter.com/nbcsnl\nSNL Tumblr: http://nbcsnl.tumblr.com/\nSNL Instagram: http://instagram.com/nbcsnl \nSNL Pinterest: http://www.pinterest.com/nbcsnl/
n1WpP7iowLc,17.14.11,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,10,2017-11-10T17:00:03.000Z,"Eminem|""Walk""|""On""|""Water""|""Aftermath/Shady/Interscope""|""Rap""",17158579,787420,43420,125882,https://i.ytimg.com/vi/n1WpP7iowLc/default.jpg,FALSE,FALSE,FALSE,Eminem's new track Walk on Water ft. Beyoncé is available everywhere: http://shady.sr/WOWEminem \nPlaylist Best of Eminem: https://goo.gl/AquNpo\nSubscribe for more: https://goo.gl/DxCrDV\n\nFor more visit: \nhttp://eminem.com\nhttp://facebook.com/eminem\nhttp://twitter.com/eminem\nhttp://instagram.com/eminem\nhttp://eminem.tumblr.com\nhttp://shadyrecords.com\nhttp://facebook.com/shadyrecords\nhttp://twitter.com/shadyrecords\nhttp://instagram.com/shadyrecords\nhttp://trustshady.tumblr.com\n\nMusic video by Eminem performing Walk On Water. (C) 2017 Aftermath Records\nhttp://vevo.ly/gA7xKt
PUTEiSjKwJU,17.14.11,Goals from Salford City vs Class of 92 and Friends at The Peninsula Stadium!,Salford City Football Club,17,2017-11-13T02:30:38.000Z,"Salford City FC|""Salford City""|""Salford""|""Class of 92""|""University of Salford""|""Salford Uni""|""Non League""|""National League""|""National League North""",27833,193,12,37,https://i.ytimg.com/vi/PUTEiSjKwJU/default.jpg,FALSE,FALSE,FALSE,Salford drew 4-4 against the Class of 92 and Friends at the newly opened The Peninsula Stadium!\n\nLike us on Facebook: https://www.facebook.com/SalfordCityFC/ \nFollow us on Twitter: https://twitter.com/SalfordCityFC\nFollow us on Instagram: https://www.instagram.com/salfordcityfc/ \nSubscribe to us on YouTube: https://www.youtube.com/user/SalfordCityTV\n\nWebsite: https://salfordcityfc.co.uk
rHwDegptbI4,17.14.11,Dashcam captures truck's near miss with child in Norway,Cute Girl Videos,25,2017-11-13T01:45:13.000Z,[none],9815,30,2,30,https://i.ytimg.com/vi/rHwDegptbI4/default.jpg,FALSE,FALSE,FALSE,Dashcam captures truck's near miss with child in Norway\nThe close call happened as children were getting off a school bus in Norway.\n\nEurope\nNorway
AumaWl0TNBo,17.14.11,How My Relationship Started!,PointlessBlogVlogs,24,2017-11-11T17:00:00.000Z,"pointlessblog|""pointlessblogtv""|""pointlessblogvlogs""|""games""|""gaming""|""daily""|""vlog""|""zoe""|""sugg""|""funny""|""zoella""|""zozeebo""|""new""|""house""|""nala""|""cute""|""puppy""|""british""|""teen""|""couple""|""zalfie""|""how""|""my""|""relationship""|""started""|""first""|""time""|""kiss""|""niomi""|""smart""|""trip""|""adventure""|""travel""|""holiday""|""merch""|""pb""|""office""|""tour""",1182775,52708,1431,2333,https://i.ytimg.com/vi/AumaWl0TNBo/default.jpg,FALSE,FALSE,FALSE,► HOW MY RELATIONSHIP STARTED!\n► PB Merch • http://bit.ly/New-PBMerch \n► PB Merch • http://bit.ly/New-PBMerch \n----------------------------------------­­­­­­­----------------------------------­-­-­-­\n• My Links •\nMain Channel • http://youtube.com/pointlessblog \nGaming Channel • http://youtube.com/AlfieGames \nTwitter • https://twitter.com/pointlessblog \nFacebook • http://fb.com/PointlessBlogTv \nTumblr • http://pointlessblogtv.tumblr.com \nSnapChat • PointlessBlog\n----------------------------------------­­­­­­­----------------------------------­-­-­-­-\n• Music •\nAndrew Applepie\n----------------------------------------­­­­­­­----------------------------------­-­-­-­-\n• Contact • Enquiries@PointlessBlog.co.uk\n----------------------------------------­­­­­­­----------------------------------­-­-­-­-
2Vv-BfVoq4g,17.14.11,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,10,2017-11-09T11:04:14.000Z,"edsheeran|""ed sheeran""|""acoustic""|""live""|""cover""|""official""|""remix""|""official video""|""lyrics""|""session""",33523622,1634124,21082,85067,https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg,FALSE,FALSE,FALSE,"🎧: https://ad.gt/yt-perfect\n💰: https://atlanti.cr/yt-album\nSubscribe to Ed's channel: http://bit.ly/SubscribeToEdSheeran\n\nFollow Ed on...\nFacebook: http://www.facebook.com/EdSheeranMusic\nTwitter: http://twitter.com/edsheeran\nInstagram: http://instagram.com/teddysphotos\nOfficial Website: http://edsheeran.com\n\nDirector: Jason Koenig\nProducer: Honna Kimmerer\nStarring: Ed Sheeran & Zoey Deutch \nDirector of Photography: Johnny Valencia\nProduction Company: Anonymous Content\nExec Producer: Nina Soriano\nProduction Manager: Doug Hoff\nCommissioner: Dan Curwin\nProduction Designer: John Lavin\nLead Casting: Amy Hubbard \n \nWritten by: Jason Koenig, Ed Sheeran, Andrew Kolvet, Jenny Koenig, Murray Cummings\n\nEdited by: Jason Koenig & Johnny Valencia\nVFX: Ian Hubert\n\nCast: Bo Valencia, Dennis Ranalta, Arthur Pauli\n \nSki Cinematography: Corey Koniniec\nSpecialty Camera op: Ryan Haug\n1st AC: Ryan Brown\n \n1st Assistant Director: Ole Zapatka\nArt Director: Klaus Hartl\nSnow fx: Lucien Stephenson\n\nGaffer: Thomas Berz\nStylist: Claudia Lajda\nHair & Makeup: Christel Thoresen\nAustrian Casting: Ursula Kiplinger\n \nAdditional VFX: Zoic\n\nSpecial Thanks to: The Hintertux Glacier, Austria;\nThe Tenne, and Hotel Neuhintertux"
#NAME?,17.14.11,CHRISTMAS HAS GONE TO MY HEAD,MoreZoella,22,2017-11-10T19:19:43.000Z,"zoe sugg|""zoella""|""zoe""|""vlog""|""vlogging""|""vlogs""|""daily""|""every""|""day""|""british""|""in the life""|""brighton""|""nala""|""puppy""|""pug""|""alfie deyes""|""pointlessblog""|""beauty""|""fashion""|""makeup""|""lifestyle""|""life""|""clothes""|""outfits""|""dog""|""home""|""interiors""|""books""|""food""|""baking""|""christmas""",1164201,57309,749,624,https://i.ytimg.com/vi/-N5eucPMTTc/default.jpg,FALSE,FALSE,FALSE,CHRISTMAS HAS GONE TO MY HEAD\nPrevious Vlog: http://bit.ly/2yQn6Dr\nMain Channel: http://bit.ly/2n34AgF\n\n--- Links below marked with a * are affiliate links - which means I receive a percentage of the revenue made from purchasing products through this link —\n\nWhat I'm Wearing:\nT Shirt - Zoe Karssen - http://bit.ly/2ABhudK\n*Trousers - & Other Stories - http://bit.ly/2zO41C2\n*Coat - & Other Stories - http://bit.ly/2zMEWrj\n*Hat - ASOS (similar) http://bit.ly/2zM170G\n*Converse - http://bit.ly/2wrGiCw\n\nOther Places To Find Me:\n\nMAIN CHANNEL: http://youtube.com/zoella\nBLOG : http://www.zoella.co.uk\nTWITTER : http://twitter.com/Zoella\nINSTAGRAM : http://instagram.com/Zoella\nFACEBOOK : http://facebook.com/zoe.zoella\nSNAPCHAT : @OfficialZoella
LMCuKltaY3M,17.14.11,Elbow - Golden Slumbers (John Lewis Advert 2017),ElbowVEVO,10,2017-11-10T08:00:01.000Z,"Elbow|""Golden""|""Slumbers""|""Polydor""|""Alternative""",154494,2163,147,211,https://i.ytimg.com/vi/LMCuKltaY3M/default.jpg,FALSE,FALSE,FALSE,"“Golden Slumbers”, originally by The Beatles, and as heard on the 2017 John Lewis Christmas advert. \n\nTaken from elbow’s new ‘Best Of’ collection, released 24/11/2017. Pre-order now and get “Golden Slumbers” instantly: https://Elbow.lnk.to/BestOfID\n\nelbow are touring in 2017 and 2018 – for tickets visit http://www.elbow.co.uk\n\nhttp://www.facebook.com/elbow\nhttp://www.twitter.com/elbow\nhttp://www.instagram.com/elbowofficial"
9t9u_yPEidY,17.14.11,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,10,2017-11-10T15:00:00.000Z,"Jennifer Lopez ft. Wisin|""Jennifer Lopez ft. Wisin Music""|""Jennifer Lopez ft. Wisin Official Video""|""Jennifer Lopez ft. Wisin Video""|""Jennifer Lopez ft. Wisin Video Oficial""|""Jennifer Lopez ft. Wisin Nuevo Video""|""Jennifer Lopez ft. Wisin New Video""|""Amor""|""Amor Official Video""|""Official Video""|""Amor Single""|""Single""|""Jennifer Lopez ft. Wisin New Single""|""Jennifer Lopez ft. Wisin Single""|""Jennifer Lopez ft. Wisin Amor""|""Jennifer""|""Lopez""",9548677,190084,15015,11473,https://i.ytimg.com/vi/9t9u_yPEidY/default.jpg,FALSE,FALSE,FALSE,"Jennifer Lopez ft. Wisin - Amor, Amor, Amor (Official Music Video)\n“Amor, Amor, Amor” is available on these digital platforms!\niTunes: http://smarturl.it/AAAi\nApple Music: http://smarturl.it/AAAap\nSpotify: http://smarturl.it/AAAs\nAmazon Music: http://smarturl.it/AAAam\nGoogle Play: http://smarturl.it/AAAgp\nVideo: http://smarturl.it/AAAv\nLinkfire: https://SML.lnk.to/AAA\n\nFollow JLO!\nOfficial Site: http://www.jenniferlopez.com\nFacebook: https://www.facebook.com/jenniferlopez\nInstagram: https://www.instagram.com/jlo\nTwitter: https://twitter.com/jlo\nOfficial music video by Jennifer Lopez ft. Wisin performing Amor, Amor, Amor. (C) 2017 Sony Music Entertainment US Latin LLC"
